source,pat_name,trial,n_flip,iteration,hamming_to_nearest,nearest_pat,overlap_H,overlap_T,overlap_X
python,X,7,13,1,0,X,0.187500,0.281250,1.000000
python,X,7,13,2,0,X,0.187500,0.281250,1.000000
python,X,8,13,0,13,X,0.031250,0.250000,0.593750
python,X,8,13,1,0,X,0.187500,0.281250,1.000000
python,X,8,13,2,0,X,0.187500,0.281250,1.000000
python,X,9,13,0,13,X,0.281250,0.187500,0.593750
python,X,9,13,1,0,X,0.187500,0.281250,1.000000
python,X,9,13,2,0,X,0.187500,0.281250,1.000000
python,X,10,13,0,13,X,0.156250,0.187500,0.593750
python,X,10,13,1,0,X,0.187500,0.281250,1.000000
python,X,10,13,2,0,X,0.187500,0.281250,1.000000
python,X,11,13,0,13,X,0.281250,0.062500,0.593750
python,X,11,13,1,0,X,0.187500,0.281250,1.000000
python,X,11,13,2,0,X,0.187500,0.281250,1.000000
python,X,12,13,0,13,X,0.156250,0.062500,0.593750
python,X,12,13,1,0,X,0.187500,0.281250,1.000000
python,X,12,13,2,0,X,0.187500,0.281250,1.000000
python,X,13,13,0,13,X,0.156250,0.125000,0.593750
python,X,13,13,1,0,X,0.187500,0.281250,1.000000
python,X,13,13,2,0,X,0.187500,0.281250,1.000000
python,X,14,13,0,13,X,0.093750,0.187500,0.593750
python,X,14,13,1,0,X,0.187500,0.281250,1.000000
python,X,14,13,2,0,X,0.187500,0.281250,1.000000
python,X,15,13,0,13,X,0.156250,0.125000,0.593750
python,X,15,13,1,0,X,0.187500,0.281250,1.000000
python,X,15,13,2,0,X,0.187500,0.281250,1.000000
python,X,16,13,0,13,X,0.218750,0.062500,0.593750
python,X,16,13,1,0,X,0.187500,0.281250,1.000000
python,X,16,13,2,0,X,0.187500,0.281250,1.000000
python,X,17,13,0,13,X,0.218750,0.187500,0.593750
python,X,17,13,1,0,X,0.187500,0.281250,1.000000
python,X,17,13,2,0,X,0.187500,0.281250,1.000000
python,X,18,13,0,13,X,0.156250,0.187500,0.593750
python,X,18,13,1,0,X,0.187500,0.281250,1.000000
python,X,18,13,2,0,X,0.187500,0.281250,1.000000
python,X,19,13,0,13,X,0.093750,0.250000,0.593750
python,X,19,13,1,0,X,0.187500,0.281250,1.000000
python,X,19,13,2,0,X,0.187500,0.281250,1.000000
python,spurious_0,0,-1,0,32,H,0.000000,-0.093750,-0.125000
python,spurious_0,0,-1,1,38,H,-0.187500,-0.656250,-0.625000
python,spurious_0,0,-1,2,47,H,-0.468750,-0.562500,-0.718750
