idx,e_max,offset,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,out_0,out_1,out_2,out_3,out_4,out_5,out_6,out_7
734,60,-28,7976,7761,7330,6469,4746,1301,2603,5207,6184,5969,5538,4677,4096,0,811,4096
735,46,-14,2222,4444,697,1394,2789,5578,2964,5929,1326,4096,0,498,1893,4682,2068,5033
736,57,-25,3667,7335,6478,4765,1338,2676,5353,2515,2067,5735,4878,4096,0,1076,4096,915
737,58,-26,5031,1871,3742,7485,6778,5365,2539,5078,4096,207,2078,5821,5114,4096,875,4096
738,61,-29,1964,3929,7858,7524,6856,5520,2848,5696,108,2073,6002,5668,5000,4096,992,4096
739,50,-18,3200,6401,4610,1029,2059,4119,47,94,2048,5249,4096,0,907,4096,0,0
740,60,-28,188,376,752,1504,3009,6019,3847,7694,0,0,0,0,1217,4227,2055,5902
741,57,-25,7196,6201,4211,231,462,924,1849,3698,5596,4601,4096,0,0,0,249,2098
742,57,-25,7397,6603,5015,1839,3679,7358,6525,4859,5797,5003,4096,239,2079,5758,4925,4096
743,62,-30,1526,3052,6105,4019,8038,7884,7577,6962,0,1132,4185,2099,6118,5964,5657,5042
744,51,-19,5732,3273,6547,4902,1613,3226,6453,4714,4516,2057,5331,4096,397,2010,5237,4096
745,53,-21,1236,2472,4944,1697,3394,6788,5385,2579,0,1128,4096,353,2050,5444,4096,1235
746,38,-6,5158,2125,4250,308,616,1232,2465,4931,4774,1741,4096,0,232,848,2081,4547
747,52,-20,1671,3342,6685,5178,2164,4328,465,931,391,2062,5405,4096,884,4096,0,0
748,58,-26,1862,3725,7450,6709,5227,2263,4527,863,198,2061,5786,5045,4096,599,4096,0
749,62,-30,1726,3453,6907,5623,3055,6111,4030,8060,0,1533,4987,4096,1135,4191,2110,6140
750,62,-30,7929,7666,7141,6091,3991,7983,7775,7358,6009,5746,5221,4171,2071,6063,5855,5438
751,62,-30,6524,4857,1523,3047,6095,3999,7999,7806,4604,4096,0,1127,4175,2079,6079,5886
752,63,-31,7420,6648,5105,2019,4039,8079,7966,7740,5436,4664,4096,35,2055,6095,5982,5756
753,60,-28,7289,6387,4582,973,1947,3895,7790,7388,5497,4595,4096,0,155,2103,5998,5596
754,56,-24,6584,4977,1763,3526,7053,5914,3636,7272,5048,4096,227,1990,5517,4378,2100,5736
755,52,-20,6353,4515,838,1677,3354,6708,5224,2257,5073,4096,0,397,2074,5428,4096,977
756,52,-20,4515,839,1678,3357,6714,5236,2280,4561,4096,0,398,2077,5434,4096,1000,4096
757,58,-26,931,1863,3727,7455,6719,5247,2303,4607,0,199,2063,5791,5055,4096,639,4096
758,63,-31,1022,2045,4090,8181,8170,8148,8105,8018,0,61,2106,6197,6186,6164,6121,6034
759,58,-26,7844,7496,6800,5409,2627,5255,2319,4638,6180,5832,5136,4096,963,4096,655,4096
760,61,-29,1085,2171,4343,494,988,1977,3955,7910,0,315,4096,0,0,121,2099,6054
761,57,-25,7628,7064,5937,3682,7365,6538,4884,1577,6028,5464,4337,2082,5765,4938,4096,0
762,49,-17,3155,6310,4428,664,1329,2659,5318,2444,2067,5222,4096,0,241,1571,4230,1356
763,51,-19,4889,1587,3174,6349,4507,823,1647,3294,4096,371,1958,5133,4096,0,431,2078
764,61,-29,6589,4986,1781,3563,7126,6061,3931,7862,4733,4096,0,1707,5270,4205,2075,6006
