cycle,stream,A,B,OP,E_est,MODE,RESULT,ACC,PE_ACC,UF,OVF,RO,REGION
175,B,080e,0bbd,MUL,47,2,0bcc,000087e9,00007fac,0,0,0,TRANSITION
176,C,0640,07c0,MUL,24,2,0600,000087e9,000087e9,0,0,0,STABLE
177,A,0834,0800,SUB,32,0,0834,000087e9,000087e9,0,0,0,STABLE
178,B,0837,0be8,MUL,48,3,0c20,0000901d,000087e9,0,0,0,SATURATE
179,C,0600,0600,ADD,24,2,0600,0000901d,0000901d,0,0,0,STABLE
180,A,0822,0910,MUL,36,0,093a,0000901d,0000901d,0,0,0,STABLE
181,B,083d,0c05,MUL,49,0,0c43,00009957,0000901d,0,0,0,SATURATE
182,C,0600,07c0,MUL,23,2,05c0,00009957,00009957,0,0,0,STABLE
183,A,0817,0a1f,MUL,41,0,0a40,00009957,00009957,0,0,0,STABLE
184,B,0828,0c6e,MUL,50,2,0c99,0000a397,00009957,0,0,0,SATURATE
185,C,05c0,07c0,MUL,22,2,0580,0000a397,0000a397,0,0,0,STABLE
186,A,0838,0930,MUL,37,0,0969,0000a397,0000a397,0,0,0,STABLE
187,B,0805,0bf0,MUL,47,3,0bf8,0000ad00,0000a397,0,0,0,TRANSITION
188,C,0580,07c0,MUL,21,2,0540,0000ad00,0000ad00,0,0,0,STABLE
189,A,0800,073f,MUL,28,0,073f,0000ad00,0000ad00,0,0,0,STABLE
190,B,082e,0b81,MUL,46,0,0baf,0000b43f,0000ad00,0,0,0,TRANSITION
191,C,0540,0840,MUL,22,2,0580,0000b43f,0000b43f,0,0,0,STABLE
192,A,0806,0500,ADD,32,0,0806,0000b43f,0000b43f,0,0,0,STABLE
193,B,0830,030c,MUL,13,2,0342,0000bc45,0000b43f,0,0,0,COLLAPSE
194,C,0580,07c0,MUL,21,2,0540,0000bc45,0000bc45,0,0,0,STABLE
195,A,0831,0610,SUB,32,0,0821,0000bc45,0000bc45,0,0,0,STABLE
196,B,0801,0362,MUL,13,3,0363,0000c466,0000bc45,0,0,0,COLLAPSE
197,C,0540,07c0,MUL,20,2,0500,0000c466,0000c466,0,0,0,STABLE
198,A,0809,071f,MUL,28,0,072c,0000c466,0000c466,0,0,0,STABLE
199,B,080c,0393,MUL,14,0,03a2,0000cb92,0000c466,0,0,0,COLLAPSE
200,C,0500,07c0,MUL,19,2,04c0,0000cb92,0000cb92,0,0,0,TRANSITION
201,A,080d,0800,MUL,32,0,080d,0000cb92,0000cb92,0,0,0,STABLE
202,B,0822,03db,MUL,16,2,0405,0000d39f,0000cb92,0,0,0,TRANSITION
203,C,04c0,04c0,ADD,19,2,04c0,0000d39f,0000d39f,0,0,0,TRANSITION
204,A,082e,0910,MUL,37,0,0944,0000d39f,0000d39f,0,0,0,STABLE
205,B,0813,041d,MUL,16,3,0438,0000dce3,0000d39f,0,0,0,TRANSITION
206,C,04c0,07c0,MUL,18,2,0480,0000dce3,0000dce3,0,0,0,TRANSITION
207,A,0835,0a1f,MUL,41,0,0a56,0000dce3,0000dce3,0,0,0,STABLE
208,B,081b,046b,MUL,18,0,048c,0000e739,0000dce3,0,0,0,TRANSITION
209,C,0480,07c0,MUL,17,2,0440,0000e739,0000e739,0,0,0,TRANSITION
210,A,082d,0930,ADD,33,0,084e,0000e739,0000e739,0,0,1,STABLE
211,B,081d,03da,MUL,16,2,0401,0000ef87,0000e739,0,0,0,TRANSITION
212,C,0440,07c0,MUL,16,2,0400,0000ef87,0000ef87,0,0,0,TRANSITION
213,A,082a,073f,SUB,16,0,0400,0000ef87,0000ef87,0,0,0,TRANSITION
214,B,082b,0395,MUL,31,3,07d6,0000ef87,0000ef87,0,0,0,STABLE
215,C,0400,0840,MUL,17,2,0440,0000ef87,0000ef87,0,0,0,TRANSITION
216,A,0817,0500,MUL,20,0,0517,00000000,0000ef87,0,0,0,STABLE
217,B,081a,032e,MUL,13,0,034d,00000517,00000000,0,0,0,COLLAPSE
218,C,0800,07c0,MUL,31,0,07c0,00000517,00000517,0,0,0,STABLE
219,A,083b,0610,MUL,25,0,064c,00000cd7,00000517,0,0,0,STABLE
220,B,0815,0377,MUL,14,2,038f,00001323,00000cd7,0,0,0,COLLAPSE
221,C,07c0,07c0,MUL,30,0,0780,00001323,00001323,0,0,0,STABLE
222,A,081d,071f,MUL,29,0,0745,00001aa3,00001323,0,0,0,STABLE
223,B,082e,03bb,MUL,15,3,03e9,000021e8,00001aa3,0,0,0,COLLAPSE
224,C,0780,07c0,MUL,29,0,0740,000021e8,000021e8,0,0,0,STABLE
225,A,082c,0800,MUL,32,0,082c,00002928,000021e8,0,0,0,STABLE
226,B,0837,03d9,MUL,16,0,0412,00003154,00002928,0,0,0,TRANSITION
227,C,0740,0740,ADD,29,0,0740,00003154,00003154,0,0,0,STABLE
228,A,0825,0910,ADD,32,0,0835,00003894,00003154,0,0,0,STABLE
229,B,083b,040b,MUL,17,2,0448,000040c9,00003894,0,0,0,TRANSITION
230,C,0740,07c0,MUL,28,0,0700,000040c9,000040c9,0,0,0,STABLE
231,A,082f,0a1f,SUB,32,0,0810,000047c9,000040c9,0,0,0,STABLE
232,B,0819,045f,MUL,18,3,0482,00004fd9,000047c9,0,0,0,TRANSITION
233,C,0700,07c0,MUL,27,0,06c0,00004fd9,00004fd9,0,0,0,STABLE
234,A,083f,0930,MUL,37,0,096f,00005699,00004fd9,0,0,0,STABLE
235,B,080b,03fe,MUL,16,0,0409,00006008,00005699,0,0,0,TRANSITION
236,C,06c0,07c0,MUL,26,0,0680,00006008,00006008,0,0,0,STABLE
237,A,083a,073f,MUL,29,0,0779,00006688,00006008,0,0,0,STABLE
238,B,081f,03b5,MUL,15,2,03d6,00006e01,00006688,0,0,0,COLLAPSE
239,C,0680,0840,MUL,27,0,06c0,00006e01,00006e01,0,0,0,STABLE
240,A,0816,0500,MUL,20,0,0516,000074c1,00006e01,0,0,0,STABLE
241,B,083e,0b2c,MUL,45,3,0b6a,000079d7,000074c1,0,0,0,TRANSITION
242,C,06c0,07c0,MUL,26,0,0680,000079d7,000079d7,0,0,0,STABLE
243,A,0831,0610,MUL,25,0,0646,000079d7,000079d7,0,0,0,STABLE
244,B,0835,0b62,MUL,46,0,0b99,0000801d,000079d7,0,0,0,TRANSITION
245,C,0680,07c0,MUL,25,2,0640,0000801d,0000801d,0,0,0,STABLE
246,A,0809,071f,ADD,32,0,0828,0000801d,0000801d,0,0,0,STABLE
247,B,082c,0b92,MUL,47,2,0bc5,00008845,0000801d,0,0,0,TRANSITION
248,C,0640,07c0,MUL,24,2,0600,00008845,00008845,0,0,0,STABLE
249,A,0809,0800,SUB,32,0,0809,00008845,00008845,0,0,0,STABLE
250,B,0822,0bd3,MUL,47,3,0bff,0000904e,00008845,0,0,0,TRANSITION
251,C,0600,0600,ADD,24,2,0600,0000904e,0000904e,0,0,0,STABLE
252,A,080f,0910,MUL,36,0,0922,0000904e,0000904e,0,0,0,STABLE
253,B,0812,0c1f,MUL,48,0,0c39,00009970,0000904e,0,0,0,SATURATE
254,C,0600,07c0,MUL,23,2,05c0,00009970,00009970,0,0,0,STABLE
